name,export_rva,target_rva,target_size,source,status,notes
??$?6D@@YAAAVDebug@@AAV0@ABV?$StringBase@D@@@Z,0x00016F86,0x0005F590,52,Code/Libraries/Source/WWVegas/WWLib/string_base.cpp,matched,object-symbol=??6@YAAAVDebug@@AAV0@ABV?$StringBase@D@@@Z;C++ alias
??$?8D@@YA_NABV?$StringBase@D@@0@Z,0x000259B9,0x0007FFF0,20,Code/Libraries/Source/WWVegas/WWLib/string_base.cpp,matched,object-symbol=??8@YA_NABV?$StringBase@D@@0@Z;C++ alias
??$?8D@@YA_NABV?$StringBase@D@@PBD@Z,0x0002A71B,0x000AA230,20,Code/Libraries/Source/WWVegas/WWLib/string_base.cpp,matched,object-symbol=??8@YA_NABV?$StringBase@D@@PBD@Z;C++ alias
??$?8DV?$char_traits@D@_STL@@V?$allocator@D@1@@_STL@@YA_NABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@0@0@Z,,0x00832760,47,Code/GameEngine/Source/GameLogic/Object/Update/OCLUpdate.cpp,matched,
??$?8DV?$char_traits@D@_STL@@V?$allocator@D@1@@_STL@@YA_NABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@0@PBD@Z,,0x0063B2A0,58,Code/GameEngine/Source/GameNetwork/GameSpy/Thread/BuddyThread.cpp,matched,
??$?8G@@YA_NABV?$StringBase@G@@0@Z,0x000447DD,0x000607A0,20,Code/Libraries/Source/WWVegas/WWLib/string_base.cpp,matched,object-symbol=??8@YA_NABV?$StringBase@G@@0@Z;C++ alias
??$?9D@@YA_NABV?$StringBase@D@@0@Z,0x000418C6,0x000A3D50,20,Code/Libraries/Source/WWVegas/WWLib/string_base.cpp,matched,object-symbol=??9@YA_NABV?$StringBase@D@@0@Z;C++ alias
??$?9D@@YA_NABV?$StringBase@D@@PBD@Z,0x000153A7,0x000D0D30,21,Code/Libraries/Source/WWVegas/WWLib/string_base.cpp,matched,object-symbol=??9@YA_NABV?$StringBase@D@@PBD@Z;C++ alias
??$?9D@@YA_NPBDABV?$StringBase@D@@@Z,0x0087F570,0x0087F570,21,Code/Libraries/Source/WWVegas/WWLib/string_base.cpp,matched,operator!= reversed args char
??$?9G@@YA_NABV?$StringBase@G@@0@Z,0x0001EAA1,0x0009B530,20,Code/Libraries/Source/WWVegas/WWLib/string_base.cpp,matched,object-symbol=??9@YA_NABV?$StringBase@G@@0@Z;C++ alias
??$?MD@@YA_NABV?$StringBase@D@@0@Z,0x0000FAAB,0x00062ED0,24,Code/Libraries/Source/WWVegas/WWLib/string_base.cpp,matched,object-symbol=??M@YA_NABV?$StringBase@D@@0@Z;C++ alias
??$?MDV?$char_traits@D@_STL@@V?$allocator@D@1@@_STL@@YA_NABV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@0@0@Z,,0x006451D0,98,Code/GameEngine/Source/GameNetwork/GameSpy/Thread/PingThread.cpp,matched,
??$?MG@@YA_NABV?$StringBase@G@@0@Z,0x00005D94,0x0054EB50,24,Code/Libraries/Source/WWVegas/WWLib/string_base.cpp,matched,object-symbol=??M@YA_NABV?$StringBase@G@@0@Z;C++ alias
??$Binary_Search@UNodeElement@?$IndexClass@HPAUINIEntry@@@@@@YAPAUNodeElement@?$IndexClass@HPAUINIEntry@@@@PAU01@HABU01@@Z,,0x009E2A80,70,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,matched,Binary_Search sibling
??$Binary_Search@UNodeElement@?$IndexClass@HPAUINISection@@@@@@YAPAUNodeElement@?$IndexClass@HPAUINISection@@@@PAU01@HABU01@@Z,,0x009E2AD0,70,Code/Libraries/Source/WWVegas/WWLib/ini.cpp,matched,Binary_Search sibling
??$Bound@H@@YAHHHH@Z,,0x0075AF90,23,Code/Libraries/Source/WWVegas/WW3D2/part_buf.cpp,matched,
??$Bound@M@@YAMMMM@Z,,0x006C5430,45,Code/Libraries/Source/WWVegas/WW3D2/surfaceclass.cpp,matched,
??$Copy_Emitter_Property_Struct@M@@YAXAAU?$ParticlePropertyStruct@M@@ABU0@@Z,,0x0098D170,130,Code/Libraries/Source/WWVegas/WW3D2/part_ldr.cpp,matched,
??$Copy_Emitter_Property_Struct@VVector3@@@@YAXAAU?$ParticlePropertyStruct@VVector3@@@@ABU0@@Z,,0x0098D080,237,Code/Libraries/Source/WWVegas/WW3D2/part_ldr.cpp,matched,
??$Generate_Prime@V?$Int@$0EA@@@@@YA?AV?$Int@$0EA@@@AAVStraw@@HPBV0@@Z,,0x009EAF70,793,Code/Libraries/Source/WWVegas/WWLib/pk.cpp,matched,
??$Pick_Random_Number@VRandom2Class@@@@YAHAAVRandom2Class@@HH@Z,,0x009E61C0,159,Code/Libraries/Source/WWVegas/WWLib/random.cpp,matched,
??$Pick_Random_Number@VRandom3Class@@@@YAHAAVRandom3Class@@HH@Z,,0x009E6260,100,Code/Libraries/Source/WWVegas/WWLib/random.cpp,matched,
??$Pick_Random_Number@VRandom4Class@@@@YAHAAVRandom4Class@@HH@Z,,0x009E62D0,100,Code/Libraries/Source/WWVegas/WWLib/random.cpp,matched,
??$Pick_Random_Number@VRandomClass@@@@YAHAAVRandomClass@@HH@Z,,0x009E6140,117,Code/Libraries/Source/WWVegas/WWLib/random.cpp,matched,
??$_Construct@GG@_STL@@YAXPAGABG@Z,,0x000CB1B0,19,Code/GameEngine/Source/GameNetwork/GameSpy/GSConfig.cpp,matched,
??$_Construct@U?$pair@$$CBGE@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBGE@0@ABU10@@Z,,0x00665240,25,Code/GameEngine/Source/GameNetwork/ConnectionManager.cpp,matched,
??$_Construct@U?$pair@$$CBI_N@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBI_N@0@ABU10@@Z,,0x000E7140,23,Code/GameEngine/Source/Common/System/FileSystem.cpp,matched,
??$_Construct@U?$pair@$$CBVAsciiString@@VArchivedDirectoryInfo@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBVAsciiString@@VArchivedDirectoryInfo@@@0@ABU10@@Z,,0x009C9120,90,Code/GameEngine/Source/Common/System/ArchiveFileSystem.cpp,matched,
??$_Construct@U?$pair@$$CBVAsciiString@@VArchivedFileInfo@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBVAsciiString@@VArchivedFileInfo@@@0@ABU10@@Z,,0x001A6D80,19,Code/GameEngine/Source/Common/System/ArchiveFile.cpp,matched,
??$_Construct@U?$pair@$$CBVAsciiString@@VDetailedArchivedDirectoryInfo@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBVAsciiString@@VDetailedArchivedDirectoryInfo@@@0@ABU10@@Z,,0x009C9120,90,Code/GameEngine/Source/Common/System/ArchiveFile.cpp,matched,
??$_Construct@U?$pair@$$CBVUnicodeString@@V1@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBVUnicodeString@@V1@@0@ABU10@@Z,,0x0068F900,66,Code/GameEngine/Source/GameNetwork/LANGameInfo.cpp,matched,
??$_Construct@U?$pair@$$CBVUnicodeString@@_N@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBVUnicodeString@@_N@0@ABU10@@Z,,0x0044D660,79,Code/GameEngine/Source/GameClient/LanguageFilter.cpp,matched,
??$_Construct@U?$pair@$$CBW4LocomotorSetType@@V?$vector@PBVLocomotorTemplate@@V?$allocator@PBVLocomotorTemplate@@@_STL@@@_STL@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBW4LocomotorSetType@@V?$vector@PBVLocomotorTemplate@@V?$allocator@PBVLocomotorTemplate@@@_STL@@@_STL@@@0@ABU10@@Z,,0x001375A0,66,Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate.cpp,matched,
??$_Construct@U?$pair@$$CBW4NameKeyType@@UPristineBoneInfo@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBW4NameKeyType@@UPristineBoneInfo@@@0@ABU10@@Z,,0x00761A60,19,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp,matched,
??$_Construct@U?$pair@$$CBW4NameKeyType@@VArmorTemplate@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBW4NameKeyType@@VArmorTemplate@@@0@ABU10@@Z,,0x001B0050,34,Code/GameEngine/Source/GameLogic/Object/Armor.cpp,matched,
??$_Construct@U?$pair@$$CBW4NameKeyType@@VModuleTemplate@ModuleFactory@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBW4NameKeyType@@VModuleTemplate@ModuleFactory@@@0@ABU10@@Z,,0x000699F0,39,Code/GameEngine/Source/Common/Thing/ModuleFactory.cpp,matched,
??$_Construct@U?$pair@$$CBW4NameKeyType@@VObjectCreationList@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CBW4NameKeyType@@VObjectCreationList@@@0@ABU10@@Z,,0x00261530,66,Code/GameEngine/Source/GameLogic/Object/ObjectCreationList.cpp,matched,
??$_Construct@U?$pair@$$CB_KUModelConditionInfo@@@_STL@@U12@@_STL@@YAXPAU?$pair@$$CB_KUModelConditionInfo@@@0@ABU10@@Z,,0x000E5170,82,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp,matched,
??$_Construct@U?$pair@UICoord2D@@UCoord3D@@@_STL@@U12@@_STL@@YAXPAU?$pair@UICoord2D@@UCoord3D@@@0@ABU10@@Z,,0x0001BE23,5,Code/GameEngine/Source/GameClient/Coord3DPairConstruct.cpp,matched,5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation
??$_Construct@U?$pair@W4ObjectID@@W41@@_STL@@U12@@_STL@@YAXPAU?$pair@W4ObjectID@@W41@@0@ABU10@@Z,,0x007850E0,23,Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptActions.cpp,matched,23B reloc-free ICF clone; real body not SEH 768C40
??$_Construct@UAnimSet@GenericObjectCreationNugget@@U12@@_STL@@YAXPAUAnimSet@GenericObjectCreationNugget@@ABU12@@Z,,0x0000DDAF,5,Code/GameEngine/Source/GameClient/AnimSetConstruct.cpp,matched,5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation
??$_Construct@UDetonatorInfo@MinefieldBehavior@@U12@@_STL@@YAXPAUDetonatorInfo@MinefieldBehavior@@ABU12@@Z,,0x00233490,35,Code/GameEngine/Source/GameLogic/Object/Behavior/MinefieldBehavior.cpp,matched,
??$_Construct@UEvaCheck@@U1@@_STL@@YAXPAUEvaCheck@@ABU1@@Z,,0x00233490,35,Code/GameEngine/Source/GameClient/Eva.cpp,matched,
??$_Construct@UEvaSideSounds@@U1@@_STL@@YAXPAUEvaSideSounds@@ABU1@@Z,,0x0000E3BD,5,Code/GameEngine/Source/GameClient/EvaSideSoundsConstruct.cpp,matched,5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation
??$_Construct@UFlightDeckInfo@FlightDeckBehavior@@U12@@_STL@@YAXPAUFlightDeckInfo@FlightDeckBehavior@@ABU12@@Z,,0x0022FDE0,47,Code/GameEngine/Source/GameLogic/Object/Behavior/FlightDeckBehavior.cpp,matched,
??$_Construct@UHideShowSubObjInfo@ModelConditionInfo@@U12@@_STL@@YAXPAUHideShowSubObjInfo@ModelConditionInfo@@ABU12@@Z,,0x0069C300,23,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp,matched,object-symbol=?reconstructHideShowSubObjInfo@@YAXPAXPBX@Z;thunk-dump converted to clean C++ helper
??$_Construct@UHistoricWeaponDamageInfo@@U1@@_STL@@YAXPAUHistoricWeaponDamageInfo@@ABU1@@Z,,0x00570810,35,Code/GameEngine/Source/GameLogic/Object/Weapon.cpp,matched,
??$_Construct@UModelConditionInfo@@U1@@_STL@@YAXPAUModelConditionInfo@@ABU1@@Z,,0x000620B0,66,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp,matched,
??$_Construct@UNugget@ModuleInfo@@U12@@_STL@@YAXPAUNugget@ModuleInfo@@ABU12@@Z,,0x00772160,66,Code/GameEngine/Source/Common/Thing/ModuleInfoNuggetCopy.cpp,matched,object-symbol=??$_Construct@UBFME_ModuleInfoNuggetCopyLayout@@U1@@_STL@@YAXPAUBFME_ModuleInfoNuggetCopyLayout@@ABU1@@Z; thunk-dump converted to exact retail ModuleInfo Nugget copy helper
??$_Construct@UPayload@DeliverPayloadNugget@@U12@@_STL@@YAXPAUPayload@DeliverPayloadNugget@@ABU12@@Z,,0x00768CB0,76,Code/GameEngine/Source/GameLogic/Object/ObjectCreationList.cpp,matched,object-symbol=??$_Construct@UBFMEPayloadCopyLayout@@U1@@_STL@@YAXPAUBFMEPayloadCopyLayout@@ABU1@@Z;thunk-dump converted to clean C++ helper
??$_Construct@UPrereqUnitRec@ProductionPrerequisite@@U12@@_STL@@YAXPAUPrereqUnitRec@ProductionPrerequisite@@ABU12@@Z,,0x00028957,5,Code/GameEngine/Source/Common/RTS/PrereqUnitRecConstruct.cpp,matched,5-byte incremental-link template thunk converted from MASM dump to focused C++ explicit instantiation
??$_Construct@URunwayInfo@ParkingPlaceBehavior@@U12@@_STL@@YAXPAURunwayInfo@ParkingPlaceBehavior@@ABU12@@Z,,0x007494A0,24,Code/GameEngine/Source/GameLogic/Object/Behavior/ParkingPlaceBehavior.cpp,matched,
??$_Construct@USegInfo@W3DRopeDraw@@U12@@_STL@@YAXPAUSegInfo@W3DRopeDraw@@ABU12@@Z,,0x00759F80,35,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/W3DRopeDraw.cpp,matched,
??$_Construct@UStationPointData@GarrisonContain@@U12@@_STL@@YAXPAUStationPointData@GarrisonContain@@ABU12@@Z,,0x00233490,35,Code/GameEngine/Source/GameLogic/Object/Contain/GarrisonContain.cpp,matched,
??$_Construct@USubsystemLegendEntry@@U1@@_STL@@YAXPAUSubsystemLegendEntry@@ABU1@@Z,,0x009A1340,66,Code/GameEngine/Source/Common/System/SubsystemLegend.cpp,matched,STLport placement-new construct helper for the list element
??$_Construct@UWeaponBarrelInfo@ModelConditionInfo@@U12@@_STL@@YAXPAUWeaponBarrelInfo@ModelConditionInfo@@ABU12@@Z,,0x00761370,19,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp,matched,STLport _Construct COMDAT emitted by W3DModelDraw TU; thunk-dump converted
??$_Construct@UWeaponDelayedDamageInfo@WeaponStore@@U12@@_STL@@YAXPAUWeaponDelayedDamageInfo@WeaponStore@@ABU12@@Z,,0x0028D4C0,24,Code/GameEngine/Source/GameLogic/Object/Weapon.cpp,matched,
??$_Construct@UtConnInfoStruct@@U1@@_STL@@YAXPAUtConnInfoStruct@@ABU1@@Z,,0x002A14C0,41,Code/GameEngine/Source/GameNetwork/GameSpy/StagingRoomGameInfo.cpp,matched,
??$_Construct@V?$BitFlags@$0HF@@@V1@@_STL@@YAXPAV?$BitFlags@$0HF@@@ABV1@@Z,,0x00749420,35,Code/GameEngineDevice/Source/W3DDevice/GameClient/Drawable/Draw/W3DModelDraw.cpp,matched,
??$_Construct@VAsciiString@@V1@@_STL@@YAXPAVAsciiString@@ABV1@@Z,,0x00756D90,25,Code/GameEngine/Source/GameNetwork/GameSpy/LadderDefs.cpp,matched,object-symbol=?reconstructAsciiString@@YAXPAVAsciiString@@ABV1@@Z;thunk-dump converted to clean C++ helper
??$_Construct@VBuddyMessage@@V1@@_STL@@YAXPAVBuddyMessage@@ABV1@@Z,,0x004EA880,66,Code/GameEngine/Source/GameClient/GUI/GUICallbacks/Menus/WOLBuddyOverlay.cpp,matched,
??$_Construct@VGameResultsRequest@@V1@@_STL@@YAXPAVGameResultsRequest@@ABV1@@Z,,0x00641B70,66,Code/GameEngine/Source/GameNetwork/GameSpy/Thread/GameResultsThread.cpp,matched,
??$_Construct@VGameResultsResponse@@V1@@_STL@@YAXPAVGameResultsResponse@@ABV1@@Z,,0x00641BD0,87,Code/GameEngine/Source/GameNetwork/GameSpy/Thread/GameResultsThread.cpp,matched,STLport template-internal COMDAT emitted by this TU; thunk-dump repointed to real body
??$_Construct@VMoney@@V1@@_STL@@YAXPAVMoney@@ABV1@@Z,,0x001A6D80,19,Code/GameEngine/Source/Common/MultiplayerSettings.cpp,matched,
??$_Construct@VPSResponse@@V1@@_STL@@YAXPAVPSResponse@@ABV1@@Z,,0x003685C0,93,Code/GameEngine/Source/GameNetwork/GameSpy/Thread/PSResponseConstructThunk.cpp,matched,Exact 93B C++ raw STL construct thunk Open-BFME5
